node,tsne-origin-one,tsne-origin-two,tsne-origin-one-modi,tsne-origin-two-modi,New_Med_Group,color
"Potassium nitrate, Oromucosal",128.31844326146512,-150.0,128.31844326146512,1150.0,Other Medications,#138484
"Potassium nitrate, Topical application",47.3988300343301,36.95991461350937,47.3988300343301,1336.9599146135097,Other Medications,#138484
"Risedronic acid, Oral",-15.122132539425335,1.3215763803318907,-15.122132539425335,1301.321576380332,Other Medications,#138484
"Sapropterin, Oral",-59.441803639442526,-36.57675304679097,-59.441803639442526,1263.423246953209,Other Medications,#138484
"Sibutramine, Oral",15.43847638727138,-31.828467351278363,15.43847638727138,1268.1715326487215,Other Medications,#138484
"Sodium fluoride, Dental",35.93643514156011,150.0,35.93643514156011,1450.0,Other Medications,#138484
"Sodium fluoride, Oral",106.1662381130219,-65.86704166723604,106.1662381130219,1234.132958332764,Other Medications,#138484
"Sodium fluoride, Oromucosal",142.19541099992483,-140.3135772064416,142.19541099992483,1159.6864227935584,Other Medications,#138484
"Solifenacin, Oral",84.03358174055549,65.99568354401069,84.03358174055549,1365.9956835440107,Other Medications,#138484
"Succimer, Oral",-18.521499361083272,25.9851092414724,-18.521499361083272,1325.9851092414724,Other Medications,#138484
"Tamsulosin, Oral",-144.06616640051007,-59.059123549633725,-144.06616640051007,1240.9408764503662,Other Medications,#138484
"Theophylline, Oral",-109.5205236764914,-113.51577926014576,-109.5205236764914,1186.4842207398542,Other Medications,#138484
"Thyrotropin alfa, Injection",-68.81264163393853,-1.3248302674292631,-68.81264163393853,1298.6751697325708,Other Medications,#138484
"Tolterodine, Oral",-144.09941128017266,49.640417254139294,-144.09941128017266,1349.6404172541393,Other Medications,#138484
"Triethylenetetramine, Oral",-24.546512916983303,55.737585627262064,-24.546512916983303,1355.737585627262,Other Medications,#138484
"Trospium, Oral",-35.6690009756846,-14.379563210853432,-35.6690009756846,1285.6204367891469,Other Medications,#138484
"Velaglucerase alfa, Intravenous",10.696264939896224,-6.982041114505137,10.696264939896224,1293.0179588854949,Other Medications,#138484
"Abacavir, Oral",-41.45877853388335,18.94192026035961,-483.01698995258255,1241.6546199280776,Anti-Infective Agents,#e43972
"Acetyl sulfisoxazole, Oral",-13.86229526912743,-24.283868778642585,-455.4205066878267,1198.4288308890757,Anti-Infective Agents,#e43972
"Acyclovir, Buccal mucosa",-14.553975109587212,-24.28692742756185,-456.1121865282864,1198.4257722401562,Anti-Infective Agents,#e43972
"Acyclovir, Oral",-133.88443644860928,-80.95178349052038,-575.4426478673086,1141.7609161771975,Anti-Infective Agents,#e43972
"Acyclovir, Route Not Applicable",-13.940794810154642,-24.42875890297212,-455.4990062288539,1198.283940764746,Anti-Infective Agents,#e43972
"Acyclovir, Topical application",66.28612281688689,-125.49602132695362,-375.2720886018124,1097.2166783407642,Anti-Infective Agents,#e43972
"Albendazole, Oral",-13.873619974201771,-19.501393134373387,-455.431831392901,1203.211306533345,Anti-Infective Agents,#e43972
"Amantadine, Oral",-22.12098836133356,-43.35410631264034,-463.6791997800328,1179.3585933550776,Anti-Infective Agents,#e43972
"Amoxicillin, Oral",150.0,31.91685869997019,-291.5582114186992,1254.629558367688,Anti-Infective Agents,#e43972
"Ampicillin, Injection",-14.03714871547453,-19.817439263262287,-455.59536013417375,1202.8952604044557,Anti-Infective Agents,#e43972
"Ampicillin, Oral",-67.1849287510323,-139.49013687856743,-508.74314016973153,1083.2225627891503,Anti-Infective Agents,#e43972
"Atazanavir, Oral",-42.1111920310904,36.37832593178916,-483.6694034497896,1259.0910255995072,Anti-Infective Agents,#e43972
"Atovaquone, Oral",-16.403945785045977,-24.79755068385346,-457.9621572037452,1197.9151489838646,Anti-Infective Agents,#e43972
"Azithromycin, Ophthalmic",116.2580136099017,-19.85401471537384,-325.3001978087975,1202.8586849523442,Anti-Infective Agents,#e43972
"Azithromycin, Oral",-53.85551886023741,-141.27532608985143,-495.4137302789366,1081.4373735778663,Anti-Infective Agents,#e43972
"Aztreonam, Inhalation",-15.397118737230898,-24.611657552683084,-456.9553301559301,1198.101042115035,Anti-Infective Agents,#e43972
"Belladonna, Oral",-14.74009801854487,-28.43535370652796,-456.2983094372441,1194.27734596119,Anti-Infective Agents,#e43972
"Belladonna, Rectal",-14.0404743117939,-24.72425005555744,-455.5986857304931,1197.9884496121606,Anti-Infective Agents,#e43972
"Benzoic acid, Oral",-14.680623982042448,-27.14437927648713,-456.23883540074166,1195.5683203912308,Anti-Infective Agents,#e43972
"Benzylpenicillin, Injection",-14.623934165714502,-24.23181827413181,-456.1821455844137,1198.480881393586,Anti-Infective Agents,#e43972
"Benzylpenicillin, Intramuscular",-19.04133149069025,-17.161569489439415,-460.5995429093895,1205.5511301782783,Anti-Infective Agents,#e43972
"Benzylpenicillin, Intravenous",-14.051997889737862,-24.70476453691789,-455.6102093084371,1198.0079351308,Anti-Infective Agents,#e43972
"Bismuth subsalicylate, Oral",-14.747942448401233,-24.3097175703834,-456.3061538671004,1198.4029820973346,Anti-Infective Agents,#e43972
"Cefaclor, Oral",103.01263855500444,40.72585314407704,-338.5455728636948,1263.438552811795,Anti-Infective Agents,#e43972
"Cefadroxil, Oral",101.57644498172864,-86.26090821417742,-339.9817664369706,1136.4517914535406,Anti-Infective Agents,#e43972
"Cefdinir, Oral",-1.5601631862380143,-150.0,-443.1183746049372,1072.712699667718,Anti-Infective Agents,#e43972
"Cefditoren, Oral",-13.731956200091844,-18.81834121890216,-455.2901676187911,1203.894358448816,Anti-Infective Agents,#e43972
"Cefepime, Injection",-14.935932552634483,-24.05669458163871,-456.4941439713337,1198.6560050860792,Anti-Infective Agents,#e43972
"Cefixime, Oral",72.46057299324843,73.1855616028594,-369.0976384254508,1295.8982612705774,Anti-Infective Agents,#e43972
"Cefpodoxime, Oral",41.08881975396852,89.2764718925333,-400.46939166473067,1311.9891715602512,Anti-Infective Agents,#e43972
"Cefprozil, Oral",115.94534126492364,-54.37694763614083,-325.6128701537756,1168.3357520315772,Anti-Infective Agents,#e43972
"Ceftibuten, Oral",-11.051227257368112,-20.42723332874405,-452.6094386760673,1202.285466338974,Anti-Infective Agents,#e43972
"Ceftriaxone, Injection",41.64168633144925,-32.33407231550804,-399.91652508725,1190.3786273522098,Anti-Infective Agents,#e43972
"Ceftriaxone, Intravenous",-14.73994333964626,-24.292670415217955,-456.2981547583455,1198.4200292525,Anti-Infective Agents,#e43972
"Cefuroxime, Oral",-34.4963498542059,-148.5746311031449,-476.0545612729051,1074.1380685645731,Anti-Infective Agents,#e43972
"Cephalexin, Oral",10.53122994583478,-148.85422091750604,-431.02698147286446,1073.8584787502118,Anti-Infective Agents,#e43972
"Chloroquine, Oral",-15.40238886827521,-25.33432218003184,-456.96060028697445,1197.378377487686,Anti-Infective Agents,#e43972
"Clarithromycin, Oral",-140.4035554049686,31.51955517776452,-581.9617668236679,1254.2322548454824,Anti-Infective Agents,#e43972
"Clavulanic acid, Oral",130.0545979683663,21.25017351504997,-311.5036134503329,1243.962873182768,Anti-Infective Agents,#e43972
"Cobicistat, Oral",-14.495705358795163,-18.247443328663024,-456.0539167774944,1204.465256339055,Anti-Infective Agents,#e43972
"Dapsone, Oral",-15.738550308851416,-24.66262790495314,-457.2967617275506,1198.050071762765,Anti-Infective Agents,#e43972
"Dapsone, Topical application",39.39759382241948,-28.90175488840985,-402.1606175962797,1193.810944779308,Anti-Infective Agents,#e43972
"Darunavir, Oral",-32.07916060917704,19.95696391849117,-473.63737202787627,1242.669663586209,Anti-Infective Agents,#e43972
"Dicloxacillin, Oral",119.02963850252416,-33.19916731455896,-322.52857291617505,1189.513532353159,Anti-Infective Agents,#e43972
"Didanosine, Oral",-15.381463022996428,-23.813671022053185,-456.9396744416956,1198.8990286456649,Anti-Infective Agents,#e43972
"Dolutegravir, Oral",-14.78709830672642,-24.02904910102225,-456.3453097254256,1198.6836505666956,Anti-Infective Agents,#e43972
"Doxycycline, Oral",12.326720503516697,70.8379736952842,-429.2314909151825,1293.5506733630025,Anti-Infective Agents,#e43972
"Efavirenz, Oral",-15.090611451210265,-23.53030751937858,-456.6488228699095,1199.1823921483394,Anti-Infective Agents,#e43972
"Elvitegravir, Oral",-14.495760601258894,-18.247443328663024,-456.0539720199581,1204.465256339055,Anti-Infective Agents,#e43972
"Emtricitabine, Oral",-46.0793023981674,86.48305916853312,-487.6375138168666,1309.1957588362511,Anti-Infective Agents,#e43972
"Entecavir, Oral",-14.959896733421033,-24.060523240076137,-456.51810815212025,1198.6521764276415,Anti-Infective Agents,#e43972
"Etravirine, Oral",-14.7500085165465,-18.308627001625013,-456.3082199352457,1204.404072666093,Anti-Infective Agents,#e43972
"Famciclovir, Oral",-141.38090507411232,29.847736178968148,-582.9391164928115,1252.5604358466862,Anti-Infective Agents,#e43972
"Fidaxomicin, Oral",-14.695793562595668,-24.48181469768716,-456.2540049812949,1198.2308849700307,Anti-Infective Agents,#e43972
"Fluconazole, Oral",-139.6615386315152,-71.36154808388781,-581.2197500502144,1151.3511515838302,Anti-Infective Agents,#e43972
"Fosamprenavir, Oral",-14.841081242329324,-18.165458704134664,-456.3992926610285,1204.5472409635834,Anti-Infective Agents,#e43972
"Fosfomycin, Oral",-96.72256590195748,12.214528908194666,-538.2807773206566,1234.9272285759123,Anti-Infective Agents,#e43972
"Ganciclovir, Ophthalmic",-18.400750929224245,-22.675607648822503,-459.9589623479235,1200.0370920188957,Anti-Infective Agents,#e43972
"Griseofulvin, Oral",-13.940905295082215,-24.42873751381886,-455.4991167137814,1198.2839621538992,Anti-Infective Agents,#e43972
"Hydroxychloroquine, Oral",76.27860063473605,-117.68209307181334,-365.2796107839632,1105.0306065959046,Anti-Infective Agents,#e43972
"Isoniazid, Oral",-5.950524849441194,-13.01056581750288,-447.5087362681404,1209.702133850215,Anti-Infective Agents,#e43972
"Itraconazole, Oral",-16.229147581162692,-26.3455692634559,-457.7873589998619,1196.367130404262,Anti-Infective Agents,#e43972
"Ivermectin, Oral",-14.960007218348522,-24.06051254549948,-456.51821863704777,1198.6521871222185,Anti-Infective Agents,#e43972
"Ivermectin, Topical application",-13.862770354315956,-24.283868778642585,-455.4209817730152,1198.4288308890757,Anti-Infective Agents,#e43972
"Lamivudine, Oral",-81.72059098387744,102.8364892310087,-523.2788024025766,1325.5491888987267,Anti-Infective Agents,#e43972
"Levofloxacin, Ophthalmic",-17.493824352903516,-3.050353670897209,-459.05203577160273,1219.6623459968207,Anti-Infective Agents,#e43972
"Levofloxacin, Oral",62.23773410144926,82.23110938768409,-379.3204773172499,1304.943809055402,Anti-Infective Agents,#e43972
"Linezolid, Oral",-10.061249161005009,-19.08502118201713,-451.6194605797042,1203.627678485701,Anti-Infective Agents,#e43972
"Lopinavir, Oral",-76.48459978216049,93.17554342254248,-518.0428112008597,1315.8882430902604,Anti-Infective Agents,#e43972
"Maraviroc, Oral",-14.8692880443339,-23.76815490386997,-456.4274994630331,1198.944544763848,Anti-Infective Agents,#e43972
"Mebendazole, Oral",27.79715151442619,6.089242220906698,-413.761059904273,1228.8019418886247,Anti-Infective Agents,#e43972
"Mefloquine, Oral",-13.657301534543478,-18.70578079975777,-455.2155129532427,1204.0069188679602,Anti-Infective Agents,#e43972
"Methenamine, Oral",24.71981482726148,-96.54110637170648,-416.83839659143774,1126.1715932960117,Anti-Infective Agents,#e43972
"Methylene blue, Oral",22.97813042929846,-93.2710320889952,-418.5800809894008,1129.441667578723,Anti-Infective Agents,#e43972
"Metronidazole, Oral",-149.47542861246575,-42.28144562285647,-591.033640031165,1180.4312540448616,Anti-Infective Agents,#e43972
"Metronidazole, Route Not Applicable",-13.862880839243417,-24.283879473219216,-455.4210922579426,1198.4288201944987,Anti-Infective Agents,#e43972
"Metronidazole, Topical application",-146.00315250326614,13.818052340562817,-587.5613639219654,1236.5307520082808,Anti-Infective Agents,#e43972
"Metronidazole, Vaginal",-110.6157914265537,-110.54806717932355,-552.174002845253,1112.1646324883943,Anti-Infective Agents,#e43972
"Minocycline, Gingival",-13.862770354315956,-24.283868778642585,-455.4209817730152,1198.4288308890757,Anti-Infective Agents,#e43972
"Minocycline, Oral",-2.4113611651003737,19.04188246822116,-443.9695725837996,1241.754582135939,Anti-Infective Agents,#e43972
"Nelfinavir, Oral",-17.655905741625475,-14.075638705160117,-459.2141171603247,1208.6370609625578,Anti-Infective Agents,#e43972
"Nevirapine, Oral",-17.95583917445657,-11.606154013033091,-459.5140505931558,1211.1065456546849,Anti-Infective Agents,#e43972
"Nitazoxanide, Oral",-14.159532869726265,-19.69468691257921,-455.7177442884255,1203.018012755139,Anti-Infective Agents,#e43972
"Nitrofurantoin, Oral",31.926835039558256,-145.26958502008938,-409.631376379141,1077.4431146476286,Anti-Infective Agents,#e43972
"Oseltamivir, Oral",-150.0,-37.893091864242336,-591.5582114186992,1184.8196078034755,Anti-Infective Agents,#e43972
"Paromomycin, Oral",-13.862626723910124,-24.28384738948931,-455.4208381426093,1198.4288522782288,Anti-Infective Agents,#e43972
"Petrolatum, Topical application",-14.221150313823188,-19.55997802521168,-455.7793617325224,1203.1527216425063,Anti-Infective Agents,#e43972
"Phenoxymethylpenicillin, Oral",-109.72881842814934,-110.77474728688662,-551.2870298468486,1111.9379523808311,Anti-Infective Agents,#e43972
"Praziquantel, Oral",-14.164747758306817,-24.858178238830163,-455.722959177006,1197.854521428888,Anti-Infective Agents,#e43972
"Proguanil, Oral",-14.536474297062624,-24.27748411638804,-456.0946857157618,1198.43521555133,Anti-Infective Agents,#e43972
"Pyrimethamine, Oral",-14.722829224368098,-24.287098540788094,-456.2810406430673,1198.42560112693,Anti-Infective Agents,#e43972
"Quinine, Oral",-14.785363693363736,-24.0453155520929,-456.3435751120629,1198.667384115625,Anti-Infective Agents,#e43972
"Raltegravir, Oral",-14.926044151618411,-16.202640274942155,-456.4842555703176,1206.510059392776,Anti-Infective Agents,#e43972
"Retapamulin, Topical application",48.38126691225011,-1.360770980300515,-393.1769445064491,1221.3519286874175,Anti-Infective Agents,#e43972
"Rifampicin, Oral",-13.712621337769832,-19.26898928939218,-455.2708327564691,1203.4437103783257,Anti-Infective Agents,#e43972
"Rifaximin, Oral",-14.376326394573,-25.05870155084516,-455.9345378132722,1197.6539981168728,Anti-Infective Agents,#e43972
"Rilpivirine, Oral",-15.877805511540572,-24.155405524033284,-457.4360169302398,1198.5572941436849,Anti-Infective Agents,#e43972
"Ritonavir, Oral",-80.90565415823832,108.1089155149229,-522.4638655769376,1330.821615182641,Anti-Infective Agents,#e43972
"Saquinavir, Oral",-15.175408633108075,-23.368819412102496,-456.7336200518073,1199.3438802556154,Anti-Infective Agents,#e43972
"Stavudine, Oral",-15.079750782831669,-24.059517949871903,-456.63796220153085,1198.653181717846,Anti-Infective Agents,#e43972
"Sulfadiazine, Oral",-14.722829224368098,-24.287098540788094,-456.2810406430673,1198.42560112693,Anti-Infective Agents,#e43972
"Sulfamethoxazole, Oral",28.272711788097297,150.0,-413.2854996306019,1372.712699667718,Anti-Infective Agents,#e43972
"Sulfasalazine, Oral",11.77756621960168,66.15241230453393,-429.78064519909753,1288.865111972252,Anti-Infective Agents,#e43972
"Telbivudine, Oral",-11.826499994015364,-14.66804338902392,-453.3847114127146,1208.044656278694,Anti-Infective Agents,#e43972
"Telithromycin, Oral",-14.664747297952944,-24.458158294157684,-456.22295871665216,1198.2545413735602,Anti-Infective Agents,#e43972
"Tenofovir disoproxil, Oral",-46.97672727071844,113.26363728832835,-488.5349386894177,1335.9763369560465,Anti-Infective Agents,#e43972
"Tenofovir, Oral",-15.139335304261664,-23.95474318252198,-456.6975467229609,1198.757956485196,Anti-Infective Agents,#e43972
"Terbinafine, Oral",25.61600226862388,-1.4238796770578404,-415.9422091500753,1221.2888199906602,Anti-Infective Agents,#e43972
"Terbinafine, Topical application",-14.551610732137505,-24.45925983555169,-456.1098221508368,1198.2534398321664,Anti-Infective Agents,#e43972
"Tetracycline, Oral",-14.055378728520964,-19.15530593970047,-455.6135901472202,1203.5573937280176,Anti-Infective Agents,#e43972
"Tinidazole, Oral",88.45050413351748,62.24164090767968,-353.10770728518173,1284.9543405753975,Anti-Infective Agents,#e43972
"Trimethoprim, Ophthalmic",100.92336857495616,-87.80755788796985,-340.63484284374306,1134.9051417797482,Anti-Infective Agents,#e43972
"Trimethoprim, Oral",24.911362546162025,149.91946983789478,-416.6468488725372,1372.6321695056126,Anti-Infective Agents,#e43972
"Valaciclovir, Oral",-80.74489858864709,-133.4722355047874,-522.3031100073463,1089.2404641629305,Anti-Infective Agents,#e43972
"Valganciclovir, Oral",-13.862449948026011,-24.28385808406594,-455.4206613667252,1198.428841583652,Anti-Infective Agents,#e43972
"Vancomycin, Intravenous",-15.135490428782788,-25.049803663079985,-456.693701847482,1197.662896004638,Anti-Infective Agents,#e43972
"Vancomycin, Oral",-79.84083357195007,-47.113844620342576,-521.3990449906493,1175.5988550473753,Anti-Infective Agents,#e43972
"Vancomycin, Route Not Applicable",-13.707881534377805,-24.223497893505268,-455.266092953077,1198.4892017742127,Anti-Infective Agents,#e43972
"Zanamivir, Inhalation",-93.67229802204356,9.633574643740587,-535.2305094407427,1232.3462743114585,Anti-Infective Agents,#e43972
"Zidovudine, Oral",-79.88344760850768,98.2602798864106,-521.4416590272069,1320.9729795541286,Anti-Infective Agents,#e43972
"Zinc oxide, Oral",-14.037049279039737,-19.81742856868564,-455.5952606977389,1202.8952710990322,Anti-Infective Agents,#e43972
"Zinc oxide, Topical application",-14.221072974373868,-19.55998871978832,-455.7792843930731,1203.1527109479296,Anti-Infective Agents,#e43972
"Abatacept, Subcutaneous",4.695150956543216,32.59954569107413,-825.9184378806979,1032.6400778891036,Immunosuppressants,#a6bbff
"Adalimumab, Multiple Routes",84.5368618272276,-150.0,-746.0767270100134,850.0405321980295,Immunosuppressants,#a6bbff
"Anakinra, Subcutaneous",-103.69321605854785,16.22096439889353,-934.3068048957888,1016.261496596923,Immunosuppressants,#a6bbff
"Azathioprine, Oral",150.0,-52.8692763519479,-680.6135888372411,947.1712558460816,Immunosuppressants,#a6bbff
"Certolizumab pegol, Subcutaneous",-16.63058614117716,150.0,-847.2441749784182,1150.0405321980295,Immunosuppressants,#a6bbff
"Etanercept, Subcutaneous",-143.6969176135885,-52.212828029595016,-974.3105064508296,947.8277041684344,Immunosuppressants,#a6bbff
"Golimumab, Subcutaneous",-46.413920007146416,71.85887472034258,-877.0275088443875,1071.899406918372,Immunosuppressants,#a6bbff
"Human C1-esterase inhibitor, Intravenous",-42.79237630875163,18.65608862538707,-873.4059651459927,1018.6966208234164,Immunosuppressants,#a6bbff
"Infliximab, Intravenous",77.40656194345237,16.676223305330097,-753.2070268937887,1016.7167555033596,Immunosuppressants,#a6bbff
"Mycophenolate mofetil, Oral",3.770871201577762,-13.84683331187702,-826.8427176356633,986.1936988861524,Immunosuppressants,#a6bbff
"Omalizumab, Subcutaneous",-150.0,91.308757926707,-980.6135888372412,1091.3492901247364,Immunosuppressants,#a6bbff
"Tacrolimus, Oral",88.60714283218266,-58.089747756224966,-742.0064460050585,941.9507844418046,Immunosuppressants,#a6bbff
"Tacrolimus, Topical application",-49.4142127133612,-97.71520402123768,-880.0278015506022,902.3253281767918,Immunosuppressants,#a6bbff
"Ustekinumab, Subcutaneous",67.38933185914956,92.02669958108147,-763.2242569780915,1092.067231779111,Immunosuppressants,#a6bbff
"Vedolizumab, Intravenous",-46.9725809819998,-24.6997741020016,-877.5861698192409,975.340758096028,Immunosuppressants,#a6bbff
"Acarbose, Oral",70.9704610937917,-42.75862978027337,-1049.9356099303934,615.7013765535382,Hormones & Synthetic Subst,#000080
"Beclomethasone dipropionate, Inhalation",144.9811297212795,-30.04767166342603,-975.9249413029056,628.4123346703856,Hormones & Synthetic Subst,#000080
"Beclomethasone dipropionate, Nasal",60.44596365010728,36.87188322256992,-1060.4601073740778,695.3318895563816,Hormones & Synthetic Subst,#000080
"Canagliflozin, Oral",-2.074906920555861,-11.878823441572251,-1122.980977944741,646.5811828922394,Hormones & Synthetic Subst,#000080
"Choriogonadotropin alfa, Subcutaneous",-2.258334145967723,-11.874152319085423,-1123.1644051701528,646.5858540147262,Hormones & Synthetic Subst,#000080
"Chorionic Gonadotropin (Human), Intramuscular",-2.040855016538387,-12.266831695022717,-1122.9469260407236,646.193174638789,Hormones & Synthetic Subst,#000080
"Clomifene, Oral",27.971422324166586,-6.238304996615568,-1092.934648700019,652.221701337196,Hormones & Synthetic Subst,#000080
"Conjugated estrogens, Oral",-1.8912253052527603,-11.94799063462716,-1122.7972963294378,646.5120156991845,Hormones & Synthetic Subst,#000080
"Conjugated estrogens, Vaginal",-0.0744817260232935,-10.92062032952822,-1120.9805527502083,647.5393860042834,Hormones & Synthetic Subst,#000080
"Cortisone acetate, Oral",-2.0134535911070657,-11.424547158611489,-1122.9195246152922,647.0354591752001,Hormones & Synthetic Subst,#000080
"Desmopressin, Nasal",1.5539164232296798,52.43120872772789,-1119.3521546009556,710.8912150615395,Hormones & Synthetic Subst,#000080
"Desmopressin, Oral",24.03656794118018,10.37978968068819,-1096.869503083005,668.8397960144998,Hormones & Synthetic Subst,#000080
