,Medication,odds ratio,p-val,95% CI (LL),95% CI (UL),best_shrink_coeff,Disease
32,"Progesterone, Oral",1.2812780025363704,0.131983896568492,0.9280737575854868,1.7689039328669662,0.0726560029233905,Retinopathy of Prematurity (ROP)
33,"Indomethacin, Oral",1.2411081598535283,0.1788996945520655,0.9057779828041792,1.7005817029094432,0.0149824998033319,Anemia of Prematurity (AOP)
34,"Methyldopa, Oral",1.112204901646463,0.1531755266482325,0.9611983186229642,1.286934984466654,0.0691492139858998,Anemia of Prematurity (AOP)
35,"Hydrocodone, Oral",3.5726155888351974,2.3278945679177184e-21,2.74643211010558,4.647332114500219,0.1279424504691387,Neonatal Abstinence Syndrome (NAS)
36,"Insulin aspart, Injection",1.2893301736072904,0.0083323118115549,1.0675194652452655,1.5572290255075312,0.0180547205821401,Neonatal Hypoglycemia
37,"Indomethacin, Oral",1.2281462119897235,0.0724815354697854,0.9814234538691926,1.5368932870700924,0.0157172585100016,Bronchopulmonary Dysplasia (BPD)
38,"Acetaminophen, Oral",1.1655801404204402,3.75243070697289e-11,1.1138377989977744,1.2197261261603567,0.1295100286968261,Bronchopulmonary Dysplasia (BPD)
39,"Indomethacin, Oral",1.205649472905116,0.2368561260148116,0.8843875328262824,1.643612780102259,0.0238080868817842,Neonatal Anemia
40,"Acetaminophen, Oral",1.1600495551294214,1.7979640837570772e-10,1.1083115136092103,1.2142028245954557,0.1420086136179724,Other Respiratory Disorder
41,"Methyldopa, Oral",1.0909598760530732,0.2288833622484831,0.946720699611568,1.2571748474983844,0.020462393736285,Neonatal Anemia
42,"Nitrofurantoin, Oral",1.22612602809141,1.010880500008517e-10,1.152645186748691,1.3042912546261274,1.0,Newborn Respiratory Distress Syndrome (RDS)
43,"Sertraline, Oral",1.5254564704709943,1.662001059200364e-30,1.4193462168989377,1.6394995213965584,0.0179276747584538,Other Respiratory Disorder
44,"Sertraline, Oral",1.5586144993287918,6.8780868114239776e-34,1.4508056528668247,1.6744345824112483,0.0122348494641974,Bronchopulmonary Dysplasia (BPD)
45,"Tramadol, Oral",1.599760438911979,0.432034851511231,0.495495821104376,5.164995047190813,0.1737701297003644,Neonatal Abstinence Syndrome (NAS)
46,"Insulin lispro, Injection",1.2875838563891433,0.0010967550230634,1.106284338701609,1.4985950078437345,0.122730401739431,Bronchopulmonary Dysplasia (BPD)
47,"Ondansetron, Oral",1.2224283105095028,2.1748818440928137e-07,1.1330376050236648,1.3188714723232038,1.0,Newborn Respiratory Distress Syndrome (RDS)
48,"Insulin lispro, Injection",1.2363895219561754,0.0063771672501127,1.061545699591358,1.4400313152711903,0.0826237265103797,Other Respiratory Disorder
49,"Progesterone, Oral",1.292423999410518,0.0039881770101881,1.085338688338396,1.5390217009673943,0.201664200478805,Bronchopulmonary Dysplasia (BPD)
50,"Labetalol, Oral",1.26266968935507,0.0001040810124354,1.1223679369112571,1.4205098809251613,0.2019155326061164,Small for Gestational Age (SGA)
51,"Indomethacin, Oral",1.1377399455178263,0.2676664050129834,0.9056238630687392,1.429348581032978,1.5231833127173555,Other Respiratory Disorder
52,"Hydroxyprogesterone caproate, Route Not Applicable",1.248147703247554,0.0199767812962238,1.0355627620031096,1.5043730291235264,1.0,Newborn Respiratory Distress Syndrome (RDS)
53,"Insulin Human Isophane (NPH), Subcutaneous",0.8390659434447371,0.0027313411843215,0.7480861934991846,0.941110347399526,2.4264468035029285,Neonatal Hypoglycemia
54,"Ondansetron, Oral",3.528053993286259,4.1874457146853616e-23,2.748715708328881,4.528356621904177,0.0428268750112253,Neonatal Abstinence Syndrome (NAS)
55,"Progesterone, Oral",1.2101934454363594,0.0355947355511305,1.0129342611582146,1.4458669545864726,0.5196559727870612,Other Respiratory Disorder
56,"Labetalol, Oral",1.0006826399664923,0.989807020934066,0.9012155157621732,1.1111279471075648,1.0,Neonatal Sepsis
57,"Oxycodone, Oral",1.5717924464489017,2.422602052331618e-15,1.405329373084216,1.757973285146566,1.0,Newborn Respiratory Distress Syndrome (RDS)
58,"Fluoxetine, Oral",1.557812859671165,9.620219355631642e-14,1.386247545018081,1.7506115083689469,0.1182905769139778,Other Respiratory Disorder
59,"Progesterone, Vaginal",1.2126559594363635,0.5326066305989092,0.6618109084075587,2.221985853172033,0.0249332279324407,Retinopathy of Prematurity (ROP)
60,"Fluoxetine, Oral",1.648574874781771,1.3908375651973537e-17,1.469797026972121,1.8490982549887025,0.0247773752850171,Bronchopulmonary Dysplasia (BPD)
61,"Labetalol, Oral",1.125658349479258,0.2522279447414527,0.9191944839294294,1.3784968707989425,0.1035973915496111,Intraventricular Hemorrhage (IVH)
62,"Ondansetron, Oral",1.1574535182158028,1.8102041770103013e-06,1.090007921460944,1.229072395212077,0.3920235003584475,Bronchopulmonary Dysplasia (BPD)
63,"Nifedipine, Oral",0.9357504641734826,0.1404231188800686,0.8566777585425565,1.0221217050044265,1.0,Neonatal Sepsis
64,"Hydromorphone, Oral",1.2508953780639005,0.7906679068154976,0.2395338419196972,6.532434975873686,1.4303890123203602,Neonatal Abstinence Syndrome (NAS)
65,"Alprazolam, Oral",1.519074025149676,0.3594853554689212,0.621157169457418,3.714979086372165,0.2051186935214556,Neonatal Abstinence Syndrome (NAS)
66,"Terbutaline, Oral",1.1136720808309477,0.0735261673995335,0.9897999938527308,1.2530465865075249,1.0,Newborn Respiratory Distress Syndrome (RDS)
67,"Sertraline, Oral",1.4145286132634929,5.602677435235261e-15,1.296663751946633,1.5431072201542426,1.0,Transient Tachypnea of the Newborn (TTN)
68,"Promethazine, Oral",2.2268162049961,2.768469921632467e-05,1.5314900131317777,3.237833984103532,0.0865729938418878,Neonatal Abstinence Syndrome (NAS)
69,"Ondansetron, Oral",1.1621965601704365,9.61516669005848e-07,1.0943715514368446,1.2342251063622816,0.0247224304721476,Other Respiratory Disorder
70,"Sertraline, Oral",1.5910956533111762,0.0237690006180549,1.0637565697993476,2.3798540473063703,0.0475578556682118,Neonatal Abstinence Syndrome (NAS)
71,"Methyldopa, Oral",1.0371974225283982,0.5448190194913494,0.9215577760294354,1.1673478552094505,1.0,Neonatal Sepsis
72,"Duloxetine, Oral",1.1706006213281188,0.7770540356563203,0.3934599344378411,3.482707373017821,0.6208002936491936,Neonatal Abstinence Syndrome (NAS)
73,"Indomethacin, Oral",1.1162455956893849,0.4469449019961967,0.8407677411384121,1.4819838689444025,1.0,Neonatal Sepsis
74,"Progesterone, Vaginal",1.174591793619168,0.4446731463325639,0.7774554409092721,1.7745915830544678,1.0,Newborn Respiratory Distress Syndrome (RDS)
75,"Digoxin, Oral",1.1971198196744872,0.7503849786761969,0.3951327369805542,3.626872006629013,0.0202766602854575,Neonatal Arrhythmia
76,"Labetalol, Oral",1.1940193026499315,0.0001230267399213,1.0906975792379214,1.3071286874009231,1.0,Transient Tachypnea of the Newborn (TTN)
77,"Nifedipine, Oral",0.9788711989164312,0.655854060936429,0.891119847486299,1.0752636996819036,0.0721337021400657,Neonatal Hypoglycemia
78,"Metformin, Oral",1.2013839934848556,0.0112411688977184,1.0425037379328466,1.3844780093197055,1.0,Newborn Respiratory Distress Syndrome (RDS)
79,"Labetalol, Oral",0.9688684828788356,0.1887687285858624,0.924232039840462,1.0156606746482983,0.1331096720654738,Neonatal Jaundice
80,"Butalbital, Oral",1.2401374555560702,0.0016309400323061,1.084720188823379,1.4178227016695657,1.0,Newborn Respiratory Distress Syndrome (RDS)
81,"Caffeine, Oral",1.2273235281051158,0.0029940592190281,1.07206338059142,1.4050690191557544,1.0,Newborn Respiratory Distress Syndrome (RDS)
82,"Insulin lispro, Injection",1.070726390302971,0.4811527716795427,0.8853298528361951,1.2949467356358857,1.0,Newborn Respiratory Distress Syndrome (RDS)
83,"Nifedipine, Oral",1.069580624499223,0.4670254931512443,0.8922579431402541,1.282143488998138,0.0603865881577971,Intraventricular Hemorrhage (IVH)
84,"Terbutaline, Oral",1.3162195178184248,2.958356960522275e-21,1.243415618808551,1.3932861972139263,0.0148037426598336,Neonatal Jaundice
85,"Insulin Human Isophane (NPH), Subcutaneous",0.9680409866509844,0.485489632242725,0.8835994188181429,1.0605522501244202,0.0481142394745434,Bronchopulmonary Dysplasia (BPD)
86,"Nitrofurantoin, Oral",1.0824623294730833,0.0018804950223016,1.029709720237146,1.137917484607644,0.2183897214494296,Bronchopulmonary Dysplasia (BPD)
87,"Progesterone, Oral",1.0537800217435174,0.7201767939560416,0.7911826607094784,1.403534720073352,0.0289840987979431,Anemia of Prematurity (AOP)
88,"Insulin Human Isophane (NPH), Subcutaneous",0.9871652531565244,0.7799851071517679,0.9016263614775905,1.080819371166762,0.282941061844927,Other Respiratory Disorder
89,"Insulin aspart, Injection",1.0573680131747825,0.5290012599336751,0.8887940580509255,1.2579147049395851,0.0513453466214451,Bronchopulmonary Dysplasia (BPD)
90,"Insulin aspart, Injection",1.046622489716303,0.6648195172464302,0.8516602849265293,1.2862154727274289,1.0,Newborn Respiratory Distress Syndrome (RDS)
91,"Progesterone, Oral",1.110750019128158,0.4527861337714459,0.8443673135116481,1.461171678782878,0.0296829517171991,Neonatal Anemia
92,"Zolpidem, Oral",2.104515534735693,8.922743494144221e-05,1.4504513456225083,3.0535223737842903,0.0737646749622927,Neonatal Abstinence Syndrome (NAS)
93,"Nifedipine, Oral",1.02762200760516,0.4985976884655678,0.9496412260079442,1.112006262568918,1.0,Transient Tachypnea of the Newborn (TTN)
94,"Insulin Human Isophane (NPH), Subcutaneous",0.969451449500984,0.5900673737137683,0.8659783685595431,1.0852882093381495,1.0,Newborn Respiratory Distress Syndrome (RDS)
95,"Insulin human, Injection",1.2193550507245812,0.0366468267383344,1.0123865766722002,1.4686353750509715,1.0,Newborn Respiratory Distress Syndrome (RDS)
96,"Promethazine, Oral",1.2311774735252006,3.920127787799296e-05,1.1149906204870343,1.3594714999968225,1.0,Newborn Respiratory Distress Syndrome (RDS)
97,"Metronidazole, Oral",1.177857662509805,0.0014329942993288,1.0650850420453628,1.3025707979795038,1.0,Newborn Respiratory Distress Syndrome (RDS)
98,"Doconexent, Oral",1.6980705190342678,1.449714043285773e-25,1.537553498683222,1.8753451441414688,1.0,Neonatal Death
99,"Insulin aspart, Injection",1.0528965897953126,0.5596890710687188,0.8854564909264497,1.2519996636341604,0.4515547602470279,Other Respiratory Disorder
100,"Methyldopa, Oral",0.8253229594977503,0.002020976551858,0.730617344875989,0.932304704030454,1.298566845359965,Neonatal Hypoglycemia
101,"Quetiapine, Oral",1.2112376673944698,0.8277345812934485,0.2155729548310797,6.805569316729896,0.4858716495148957,Neonatal Abstinence Syndrome (NAS)
102,"Escitalopram, Oral",1.4232644254776083,1.0002429244407021e-07,1.2499245828728047,1.6206430792602828,0.1345779377747368,Other Respiratory Disorder
103,"Fluoxetine, Oral",2.355089965362467,5.5466002501597314e-45,2.090251081271338,2.653484452010192,1.0,Transient Tachypnea of the Newborn (TTN)
104,"Nifedipine, Oral",1.0094094034481926,0.8896051736862387,0.8843716962441638,1.1521256821049697,0.2177132375043793,Neonatal Arrhythmia
105,"Butalbital, Oral",1.2247928824128078,0.0001919365662785,1.100986122765388,1.3625218100307863,0.0204037720763757,Bronchopulmonary Dysplasia (BPD)
106,"Butalbital, Oral",1.2320664757338742,0.0001291509096958,1.107209166183066,1.371003643205303,0.2720269385143966,Other Respiratory Disorder
107,"Escitalopram, Oral",1.4948528252617856,7.360332181004204e-10,1.3153115953797252,1.698901596429724,0.0237192807793448,Bronchopulmonary Dysplasia (BPD)
108,"Caffeine, Oral",1.2536474217973586,3.27158726347458e-05,1.1268088595217678,1.3947634906297994,0.0115813058278096,Bronchopulmonary Dysplasia (BPD)
109,"Caffeine, Oral",1.2087750158512538,0.000602464202903,1.0846726167827407,1.3470765430403262,0.0586527397582554,Other Respiratory Disorder
110,"Nitrofurantoin, Oral",1.0787307269459598,0.0030643265180931,1.0259556348357468,1.1342205664123657,0.0378038821109613,Other Respiratory Disorder
111,"Insulin lispro, Injection",1.2202732284276614,0.0247792120528477,1.0255839268756186,1.4519209135361768,1.0,Transient Tachypnea of the Newborn (TTN)
112,"Citalopram, Oral",1.3347823158762315,0.4448731104682928,0.6363244477957025,2.7998984432355614,0.3364571133767886,Neonatal Abstinence Syndrome (NAS)
113,"Insulin glargine, Subcutaneous",1.0087147251540824,0.9493934875000356,0.7716101137358572,1.3186781492744866,0.0792209324040516,Neonatal Hypoglycemia
114,"Insulin aspart, Subcutaneous",1.010678729246819,0.923616592389778,0.813413636086432,1.2557835871384684,0.240982303020194,Neonatal Hypoglycemia
115,"Oxycodone, Oral",1.2094006605420873,6.877548427813362e-05,1.1013190889227953,1.3280891727303672,0.0544940723575846,Bronchopulmonary Dysplasia (BPD)
116,"Methyldopa, Oral",1.0606439461372354,0.6267668406669593,0.8365870989177321,1.3447082580318317,0.0150867547675281,Intraventricular Hemorrhage (IVH)
117,"Insulin lispro, Subcutaneous",1.1338240365859589,0.2097072854276127,0.9317891390713507,1.3796650894872011,0.2740571678691441,Neonatal Hypoglycemia
118,"Betamethasone, Injection",1.1058420090174588,0.5568178808245661,0.7905815914411763,1.546818901612078,1.0,Newborn Respiratory Distress Syndrome (RDS)
119,"Oxycodone, Oral",1.2704877053571957,3.949389629547425e-07,1.1582130132356865,1.393646065980895,0.0655737446284552,Other Respiratory Disorder
120,"Hydroxyprogesterone caproate, Route Not Applicable",1.1182176218783602,0.1884072299424525,0.9467084257328168,1.3207980576610925,0.0923027483888286,Bronchopulmonary Dysplasia (BPD)
121,"Citalopram, Oral",1.419244673948119,4.72284907011605e-06,1.2216295496946818,1.6488267208610987,0.1969781631200028,Other Respiratory Disorder
122,"Bupropion, Oral",1.2147220966047243,0.5299734790161605,0.6619835211671055,2.228982632948807,0.3420648252173957,Neonatal Abstinence Syndrome (NAS)
123,"Methyldopa, Oral",0.9625183504501602,0.1601589524028562,0.912550908378052,1.0152217990774175,0.0103300459904291,Neonatal Jaundice
124,"Glyburide, Oral",1.1493630845648777,0.0006852196597584,1.0606182856153648,1.2455334007314731,0.2261641998256269,Other Respiratory Disorder
125,"Hydrocodone, Oral",1.1746417470041242,1.3720902146326458e-06,1.1003548302421218,1.253943905986484,0.0472804737003463,Bronchopulmonary Dysplasia (BPD)
126,"Hydrocodone, Oral",1.1795764067412875,7.584794934250684e-07,1.1048456613044089,1.259361871139508,0.1247503224717489,Other Respiratory Disorder
127,"Citalopram, Oral",1.4769627625060482,2.390803347251908e-07,1.2738316114438708,1.7124861576930788,0.0317276243815103,Bronchopulmonary Dysplasia (BPD)
128,"Metformin, Oral",1.0466168028683676,0.5487372555378984,0.901803049232928,1.2146851055539831,0.2518524433052833,Neonatal Hypoglycemia
129,"Glyburide, Oral",1.1472627302218676,0.0008233888584452,1.0585274525529793,1.2434365957932088,0.1298852043627537,Bronchopulmonary Dysplasia (BPD)
130,"Hydroxyprogesterone caproate, Route Not Applicable",0.7102150429975681,0.0879739048326364,0.4793748339723667,1.0522150341524057,0.0717228560635628,Retinopathy of Prematurity (ROP)
131,"Insulin glargine, Subcutaneous",1.1392477208167393,0.2527808700956773,0.9111390164765636,1.42446470397585,0.0182524091563767,Bronchopulmonary Dysplasia (BPD)
132,"Progesterone, Oral",0.9557707796366346,0.8342568264569588,0.6256488909782535,1.460080560166728,0.2515406006324906,Intraventricular Hemorrhage (IVH)
133,"Insulin glargine, Subcutaneous",1.1198018212098308,0.3209249652870944,0.895579583969992,1.4001615727172156,0.523565309961886,Other Respiratory Disorder
134,"Fluoxetine, Oral",1.34441001677844,0.3181278286352877,0.751948919748919,2.4036716401131626,0.6027032967868543,Neonatal Abstinence Syndrome (NAS)
135,"Labetalol, Oral",1.0937547987496783,0.6207559590719268,0.7669140315285188,1.5598874327590957,0.5320214889173724,Necrotizing Enterocolitis (NEC)
136,"Hydroxyprogesterone caproate, Route Not Applicable",1.095087803461701,0.2907424123554477,0.925262415757805,1.296083442780279,0.3726222254380035,Other Respiratory Disorder
137,"Hydrocodone, Oral",1.169025493422369,0.000282631216172,1.0745106092865533,1.271853988653321,1.0,Newborn Respiratory Distress Syndrome (RDS)
138,"Hydralazine, Oral",1.0539455374296254,0.8478884426893565,0.6161128468922942,1.8029184125453024,1.0,Newborn Respiratory Distress Syndrome (RDS)
139,"Calcium, Oral",0.8570571197567463,1.0100860445184308e-24,0.8321837909600139,0.882673893081179,0.1075599905416155,Large for Gestational Age (LGA)
140,"Nitrofurantoin, Oral",0.9875248897868096,0.8542567974467979,0.8637258910133507,1.1290681662955693,0.0101971747094918,Retinopathy of Prematurity (ROP)
141,"Escitalopram, Oral",1.227382129552393,0.5436519682847931,0.6335947793944159,2.377650417802424,0.6285622531867753,Neonatal Abstinence Syndrome (NAS)
142,"Acetaminophen, Oral",1.086913298840244,0.0036468009991705,1.0275268352813751,1.1497320348546187,1.0,Transient Tachypnea of the Newborn (TTN)
143,"Promethazine, Oral",1.18952681444112,1.4907911078483808e-05,1.0996554302083523,1.2867431046162725,0.0164389137034806,Bronchopulmonary Dysplasia (BPD)
144,"Enoxaparin, Subcutaneous",1.0971219281733122,0.2032123092110156,0.9511524270263684,1.2654927760020922,1.0,Newborn Respiratory Distress Syndrome (RDS)
145,"Promethazine, Oral",1.18189671506855,3.3671822910926e-05,1.0921382891733586,1.2790320227185972,0.0437823739232881,Other Respiratory Disorder
146,"Hydroxyprogesterone caproate, Intramuscular",1.09166831385205,0.5616041232490594,0.8118482734018252,1.4679340296862649,1.0,Newborn Respiratory Distress Syndrome (RDS)
147,"Methyldopa, Oral",0.8272565851749047,0.0011245044499982,0.7380473443051008,0.9272487232639376,1.0,Transient Tachypnea of the Newborn (TTN)
148,"Labetalol, Oral",0.8824525445639477,0.137621459403763,0.7481668131507162,1.0408407319324848,0.4754224208357577,Neonatal Arrhythmia
149,"Progesterone, Vaginal",1.0999461208012689,0.6115859569629227,0.7615403596728036,1.5887292817751455,0.0185872298372937,Bronchopulmonary Dysplasia (BPD)
150,"Terbutaline, Oral",1.0464271289716744,0.3797332996058745,0.9456532785982722,1.1579399776110524,0.0157433335083657,Bronchopulmonary Dysplasia (BPD)
151,"Amphetamine, Oral",1.1923851764108382,0.7894734902644327,0.3276834343008359,4.338890099702176,0.1634854018659402,Neonatal Abstinence Syndrome (NAS)
152,"Insulin Human Isophane (NPH), Subcutaneous",0.8878835909283956,0.033107768100629,0.795888103864486,0.9905126954556552,1.0,Transient Tachypnea of the Newborn (TTN)
153,"Terbutaline, Oral",1.042615354051856,0.4225367148086433,0.9415277604514952,1.154556267128439,0.0158252151277826,Other Respiratory Disorder
154,"Ondansetron, Oral",1.1052687685454332,0.2011086409439967,0.948037610712676,1.2885765679735015,0.0312444680939634,Retinopathy of Prematurity (ROP)
155,"Hydroxyprogesterone caproate, Route Not Applicable",1.0122607883303147,0.9346356860981598,0.7565097402422685,1.3544728495669656,0.0217646188057735,Anemia of Prematurity (AOP)
156,"Folic acid, Oral",0.8605127796941877,2.586290130107944e-21,0.8341920826041528,0.8876639558905968,0.1348060953965181,Large for Gestational Age (LGA)
157,"Zolpidem, Oral",1.2255019514456298,2.3658267580435242e-07,1.1345432908650717,1.3237529542410895,0.1245093851269668,Other Respiratory Disorder
158,"Duloxetine, Oral",1.1261625594898532,0.4222406792948733,0.842521241846545,1.505293928990021,0.3283696176698634,Other Respiratory Disorder
159,"Valaciclovir, Oral",0.753157902875804,2.7220118753023013e-08,0.6815139427590328,0.8323334139986099,1.0,Newborn Respiratory Distress Syndrome (RDS)
160,"Duloxetine, Oral",1.1516727543417735,0.3370191869656634,0.8632312733209885,1.5364945340667358,0.1981172664231544,Bronchopulmonary Dysplasia (BPD)
161,"Metformin, Oral",1.0121466801783334,0.8428954418905361,0.8982341948054074,1.140505347180593,0.1020895740316964,Bronchopulmonary Dysplasia (BPD)
162,"Venlafaxine, Oral",0.9517843326636376,0.9253950366771329,0.3383241241438535,2.677590367510374,0.9757898711228532,Neonatal Abstinence Syndrome (NAS)
163,"Nifedipine, Oral",0.7254088167122567,1.7342082122272835e-11,0.6606347463920336,0.7965338702478849,0.1600562251551212,Large for Gestational Age (LGA)
164,"Metoclopramide, Oral",1.107725329535545,0.2820988532322934,0.919324720427266,1.3347355710443036,1.0,Newborn Respiratory Distress Syndrome (RDS)
165,"Progesterone, Oral",1.0680013013891267,0.5874796288456827,0.8420639408853386,1.3545607695415898,1.0,Neonatal Sepsis
166,"Codeine, Oral",1.2411770672038225,2.314460331606126e-06,1.1347525712887083,1.3575827463454468,1.0,Newborn Respiratory Distress Syndrome (RDS)
167,"Insulin aspart, Subcutaneous",1.1104206692708012,0.3475112099592755,0.8924525688254794,1.3816241958567723,1.0,Newborn Respiratory Distress Syndrome (RDS)
168,"Zolpidem, Oral",1.2129489133669396,9.153241233143544e-07,1.1229689452699825,1.3101386931802688,0.0165819105361091,Bronchopulmonary Dysplasia (BPD)
169,"Metformin, Oral",1.018844048092764,0.7588917610199388,0.904347510111684,1.147836625553218,0.032542595214046,Other Respiratory Disorder
170,"Metoclopramide, Oral",1.190282155040682,0.0185301076762948,1.0296409713092491,1.3759860457056037,0.1647078931529269,Bronchopulmonary Dysplasia (BPD)
171,"Hydroxyprogesterone caproate, Route Not Applicable",1.0300493466862282,0.8349128140828241,0.779710621814835,1.36076337415946,0.0450289892807828,Neonatal Anemia
172,"Calcium ascorbate, Oral",1.374679972171981,0.08518773974925,0.9568464539630872,1.9749720742171024,1.0,Neonatal Death
173,"Glyburide, Oral",1.083890968051135,0.1051769213278767,0.9832520372231596,1.1948306091901733,1.0,Transient Tachypnea of the Newborn (TTN)
174,"Ascorbic acid, Oral",0.8652426428246256,1.988072001587001e-27,0.8429128786104357,0.8881639490386046,1.1107926231994802,Large for Gestational Age (LGA)
175,"Metronidazole, Oral",1.0096345378217098,0.926605744258598,0.8233076844797926,1.2381299472584684,0.2977454507937429,Retinopathy of Prematurity (ROP)
176,"Potassium chloride, Oral",1.1464255958807508,0.3323952269946565,0.8696533627522962,1.5112821995318206,1.0,Newborn Respiratory Distress Syndrome (RDS)
177,"Glyburide, Oral",1.0171681626445004,0.4496367295953709,0.9732563079508112,1.063061253901351,0.0410520409084402,Neonatal Jaundice
178,"Insulin aspart, Injection",0.832064968250938,0.0920939111649242,0.671823784512193,1.0305263483535827,1.0,Transient Tachypnea of the Newborn (TTN)
179,"Betamethasone, Injection",1.07067119450267,0.6559976899116013,0.7928097906214733,1.4459165619526162,0.0629957761793479,Bronchopulmonary Dysplasia (BPD)
180,"Citrus bioflavonoids, Oral",1.3243848143771049,0.4609349210345987,0.6275778265374271,2.7948647361078724,1.0,Neonatal Death
181,"Ascorbyl phosphate, Oral",1.3243848143771049,0.4609349210345987,0.6275778265374271,2.7948647361078724,1.0,Neonatal Death
182,"Betamethasone, Injection",1.0988551491044622,0.7575879401936993,0.603897999506648,1.999481103927878,0.2452254865960461,Retinopathy of Prematurity (ROP)
