node,New_Med_Group,tsne-origin-one,tsne-origin-two,tsne-origin-one-modi,tsne-origin-two-modi,color
"Pentosan polysulfate, Oral",Other Medications,-16.38133737495528,96.12071691856497,-16.38133737495528,1396.120716918565,#ff7ca6
"Phenazopyridine, Oral",Other Medications,110.86840314195473,97.42216374793935,110.86840314195473,1397.4221637479393,#ff7ca6
"Potassium nitrate, Dental",Other Medications,24.892479738710364,127.17899733879096,24.892479738710364,1427.1789973387909,#ff7ca6
"Potassium nitrate, Oromucosal",Other Medications,128.31844326146512,-150.0,128.31844326146512,1150.0,#ff7ca6
"Potassium nitrate, Topical application",Other Medications,47.3988300343301,36.95991461350937,47.3988300343301,1336.9599146135095,#ff7ca6
"Risedronic acid, Oral",Other Medications,-15.122132539425337,1.3215763803318907,-15.122132539425337,1301.3215763803319,#ff7ca6
"Sapropterin, Oral",Other Medications,-59.441803639442526,-36.57675304679097,-59.441803639442526,1263.423246953209,#ff7ca6
"Sibutramine, Oral",Other Medications,15.438476387271379,-31.828467351278363,15.438476387271379,1268.1715326487217,#ff7ca6
"Sodium fluoride, Dental",Other Medications,35.93643514156011,150.0,35.93643514156011,1450.0,#ff7ca6
"Sodium fluoride, Oral",Other Medications,106.1662381130219,-65.86704166723604,106.1662381130219,1234.132958332764,#ff7ca6
"Sodium fluoride, Oromucosal",Other Medications,142.19541099992483,-140.3135772064416,142.19541099992483,1159.6864227935584,#ff7ca6
"Solifenacin, Oral",Other Medications,84.03358174055549,65.99568354401069,84.03358174055549,1365.9956835440107,#ff7ca6
"Succimer, Oral",Other Medications,-18.521499361083272,25.9851092414724,-18.521499361083272,1325.9851092414724,#ff7ca6
"Tamsulosin, Oral",Other Medications,-144.06616640051007,-59.059123549633725,-144.06616640051007,1240.9408764503662,#ff7ca6
"Theophylline, Oral",Other Medications,-109.5205236764914,-113.51577926014576,-109.5205236764914,1186.4842207398542,#ff7ca6
"Thyrotropin alfa, Injection",Other Medications,-68.81264163393853,-1.3248302674292631,-68.81264163393853,1298.6751697325708,#ff7ca6
"Tolterodine, Oral",Other Medications,-144.09941128017266,49.640417254139294,-144.09941128017266,1349.6404172541393,#ff7ca6
"Triethylenetetramine, Oral",Other Medications,-24.546512916983303,55.737585627262064,-24.546512916983303,1355.737585627262,#ff7ca6
"Trospium, Oral",Other Medications,-35.6690009756846,-14.379563210853433,-35.6690009756846,1285.6204367891467,#ff7ca6
"Velaglucerase alfa, Intravenous",Other Medications,10.696264939896224,-6.982041114505137,10.696264939896224,1293.0179588854949,#ff7ca6
"Abacavir, Oral",Anti-Infective Agents,-41.45877853388335,18.94192026035961,-483.01698995258255,1241.6546199280776,#e43972
"Acetyl sulfisoxazole, Oral",Anti-Infective Agents,-13.86229526912743,-24.283868778642585,-455.4205066878267,1198.4288308890755,#e43972
"Acyclovir, Buccal mucosa",Anti-Infective Agents,-14.553975109587213,-24.28692742756185,-456.11218652828643,1198.4257722401562,#e43972
"Acyclovir, Oral",Anti-Infective Agents,-133.88443644860928,-80.95178349052038,-575.4426478673086,1141.7609161771975,#e43972
"Acyclovir, Route Not Applicable",Anti-Infective Agents,-13.940794810154642,-24.42875890297212,-455.4990062288539,1198.283940764746,#e43972
"Acyclovir, Topical application",Anti-Infective Agents,66.28612281688689,-125.49602132695362,-375.27208860181236,1097.2166783407642,#e43972
"Albendazole, Oral",Anti-Infective Agents,-13.873619974201773,-19.501393134373387,-455.431831392901,1203.2113065333447,#e43972
"Amantadine, Oral",Anti-Infective Agents,-22.12098836133356,-43.35410631264034,-463.6791997800328,1179.3585933550776,#e43972
"Amoxicillin, Oral",Anti-Infective Agents,150.0,31.91685869997019,-291.5582114186992,1254.629558367688,#e43972
"Ampicillin, Injection",Anti-Infective Agents,-14.03714871547453,-19.817439263262287,-455.59536013417375,1202.8952604044557,#e43972
"Ampicillin, Oral",Anti-Infective Agents,-67.1849287510323,-139.49013687856743,-508.74314016973153,1083.2225627891505,#e43972
"Atazanavir, Oral",Anti-Infective Agents,-42.1111920310904,36.37832593178916,-483.6694034497896,1259.0910255995072,#e43972
"Atovaquone, Oral",Anti-Infective Agents,-16.403945785045977,-24.79755068385346,-457.96215720374516,1197.9151489838646,#e43972
"Azithromycin, Ophthalmic",Anti-Infective Agents,116.2580136099017,-19.854014715373836,-325.3001978087975,1202.8586849523442,#e43972
"Azithromycin, Oral",Anti-Infective Agents,-53.85551886023741,-141.27532608985143,-495.4137302789366,1081.4373735778665,#e43972
"Aztreonam, Inhalation",Anti-Infective Agents,-15.397118737230898,-24.611657552683084,-456.95533015593014,1198.101042115035,#e43972
"Belladonna, Oral",Anti-Infective Agents,-14.74009801854487,-28.435353706527962,-456.2983094372441,1194.27734596119,#e43972
"Belladonna, Rectal",Anti-Infective Agents,-14.0404743117939,-24.724250055557434,-455.5986857304931,1197.9884496121606,#e43972
"Benzoic acid, Oral",Anti-Infective Agents,-14.680623982042448,-27.14437927648713,-456.23883540074166,1195.5683203912308,#e43972
"Benzylpenicillin, Injection",Anti-Infective Agents,-14.623934165714502,-24.23181827413181,-456.1821455844137,1198.480881393586,#e43972
"Benzylpenicillin, Intramuscular",Anti-Infective Agents,-19.041331490690254,-17.161569489439415,-460.59954290938947,1205.5511301782785,#e43972
"Benzylpenicillin, Intravenous",Anti-Infective Agents,-14.051997889737862,-24.704764536917892,-455.6102093084371,1198.0079351308,#e43972
"Bismuth subsalicylate, Oral",Anti-Infective Agents,-14.747942448401233,-24.3097175703834,-456.3061538671004,1198.4029820973346,#e43972
"Cefaclor, Oral",Anti-Infective Agents,103.01263855500443,40.725853144077035,-338.5455728636948,1263.438552811795,#e43972
"Cefadroxil, Oral",Anti-Infective Agents,101.57644498172863,-86.26090821417742,-339.9817664369706,1136.4517914535406,#e43972
"Cefdinir, Oral",Anti-Infective Agents,-1.5601631862380145,-150.0,-443.11837460493723,1072.712699667718,#e43972
"Cefditoren, Oral",Anti-Infective Agents,-13.731956200091844,-18.818341218902162,-455.2901676187911,1203.8943584488159,#e43972
"Cefepime, Injection",Anti-Infective Agents,-14.935932552634483,-24.05669458163871,-456.4941439713337,1198.6560050860792,#e43972
"Cefixime, Oral",Anti-Infective Agents,72.46057299324843,73.1855616028594,-369.0976384254508,1295.8982612705774,#e43972
"Cefpodoxime, Oral",Anti-Infective Agents,41.08881975396852,89.2764718925333,-400.46939166473067,1311.9891715602512,#e43972
"Cefprozil, Oral",Anti-Infective Agents,115.94534126492363,-54.37694763614083,-325.6128701537756,1168.3357520315772,#e43972
"Ceftibuten, Oral",Anti-Infective Agents,-11.051227257368112,-20.42723332874405,-452.6094386760673,1202.285466338974,#e43972
"Ceftriaxone, Injection",Anti-Infective Agents,41.64168633144925,-32.33407231550804,-399.91652508724997,1190.3786273522098,#e43972
"Ceftriaxone, Intravenous",Anti-Infective Agents,-14.73994333964626,-24.292670415217955,-456.2981547583455,1198.4200292525,#e43972
"Cefuroxime, Oral",Anti-Infective Agents,-34.4963498542059,-148.5746311031449,-476.0545612729051,1074.1380685645731,#e43972
"Cephalexin, Oral",Anti-Infective Agents,10.531229945834781,-148.85422091750604,-431.02698147286446,1073.8584787502118,#e43972
"Chloroquine, Oral",Anti-Infective Agents,-15.40238886827521,-25.334322180031833,-456.96060028697445,1197.378377487686,#e43972
"Clarithromycin, Oral",Anti-Infective Agents,-140.4035554049686,31.519555177764516,-581.9617668236679,1254.2322548454824,#e43972
"Clavulanic acid, Oral",Anti-Infective Agents,130.0545979683663,21.250173515049966,-311.5036134503329,1243.962873182768,#e43972
"Cobicistat, Oral",Anti-Infective Agents,-14.495705358795163,-18.247443328663024,-456.05391677749435,1204.465256339055,#e43972
"Dapsone, Oral",Anti-Infective Agents,-15.738550308851416,-24.66262790495314,-457.29676172755063,1198.050071762765,#e43972
"Dapsone, Topical application",Anti-Infective Agents,39.39759382241948,-28.901754888409855,-402.16061759627974,1193.810944779308,#e43972
"Darunavir, Oral",Anti-Infective Agents,-32.07916060917704,19.95696391849117,-473.63737202787627,1242.669663586209,#e43972
"Dicloxacillin, Oral",Anti-Infective Agents,119.02963850252416,-33.19916731455896,-322.52857291617505,1189.513532353159,#e43972
"Didanosine, Oral",Anti-Infective Agents,-15.381463022996428,-23.813671022053185,-456.9396744416956,1198.8990286456649,#e43972
"Dolutegravir, Oral",Anti-Infective Agents,-14.78709830672642,-24.029049101022252,-456.34530972542564,1198.6836505666956,#e43972
"Doxycycline, Oral",Anti-Infective Agents,12.326720503516697,70.8379736952842,-429.2314909151825,1293.5506733630023,#e43972
"Efavirenz, Oral",Anti-Infective Agents,-15.090611451210265,-23.53030751937858,-456.6488228699095,1199.1823921483394,#e43972
"Elvitegravir, Oral",Anti-Infective Agents,-14.495760601258894,-18.247443328663024,-456.0539720199581,1204.465256339055,#e43972
"Emtricitabine, Oral",Anti-Infective Agents,-46.0793023981674,86.48305916853312,-487.6375138168666,1309.1957588362511,#e43972
"Entecavir, Oral",Anti-Infective Agents,-14.959896733421033,-24.060523240076137,-456.51810815212025,1198.6521764276417,#e43972
"Etravirine, Oral",Anti-Infective Agents,-14.750008516546501,-18.308627001625013,-456.3082199352457,1204.404072666093,#e43972
"Famciclovir, Oral",Anti-Infective Agents,-141.38090507411232,29.847736178968148,-582.9391164928115,1252.5604358466862,#e43972
"Fidaxomicin, Oral",Anti-Infective Agents,-14.695793562595668,-24.481814697687156,-456.2540049812949,1198.2308849700307,#e43972
"Fluconazole, Oral",Anti-Infective Agents,-139.6615386315152,-71.36154808388781,-581.2197500502144,1151.3511515838302,#e43972
"Fosamprenavir, Oral",Anti-Infective Agents,-14.841081242329324,-18.165458704134664,-456.39929266102854,1204.5472409635834,#e43972
"Fosfomycin, Oral",Anti-Infective Agents,-96.72256590195747,12.214528908194666,-538.2807773206566,1234.9272285759125,#e43972
"Ganciclovir, Ophthalmic",Anti-Infective Agents,-18.400750929224245,-22.675607648822506,-459.9589623479235,1200.0370920188955,#e43972
"Griseofulvin, Oral",Anti-Infective Agents,-13.940905295082217,-24.42873751381886,-455.4991167137814,1198.2839621538992,#e43972
"Hydroxychloroquine, Oral",Anti-Infective Agents,76.27860063473605,-117.68209307181334,-365.27961078396316,1105.0306065959046,#e43972
"Isoniazid, Oral",Anti-Infective Agents,-5.950524849441194,-13.01056581750288,-447.5087362681404,1209.702133850215,#e43972
"Itraconazole, Oral",Anti-Infective Agents,-16.229147581162692,-26.3455692634559,-457.7873589998619,1196.367130404262,#e43972
"Ivermectin, Oral",Anti-Infective Agents,-14.960007218348522,-24.060512545499478,-456.51821863704777,1198.6521871222185,#e43972
"Ivermectin, Topical application",Anti-Infective Agents,-13.862770354315956,-24.283868778642585,-455.42098177301517,1198.4288308890755,#e43972
"Lamivudine, Oral",Anti-Infective Agents,-81.72059098387744,102.8364892310087,-523.2788024025766,1325.5491888987267,#e43972
"Levofloxacin, Ophthalmic",Anti-Infective Agents,-17.493824352903516,-3.050353670897209,-459.05203577160273,1219.6623459968207,#e43972
"Levofloxacin, Oral",Anti-Infective Agents,62.23773410144926,82.23110938768409,-379.3204773172499,1304.943809055402,#e43972
"Linezolid, Oral",Anti-Infective Agents,-10.061249161005009,-19.08502118201713,-451.6194605797042,1203.627678485701,#e43972
"Lopinavir, Oral",Anti-Infective Agents,-76.48459978216049,93.17554342254249,-518.0428112008597,1315.8882430902604,#e43972
"Maraviroc, Oral",Anti-Infective Agents,-14.8692880443339,-23.76815490386997,-456.4274994630331,1198.944544763848,#e43972
"Mebendazole, Oral",Anti-Infective Agents,27.79715151442619,6.089242220906698,-413.761059904273,1228.8019418886247,#e43972
"Mefloquine, Oral",Anti-Infective Agents,-13.657301534543478,-18.705780799757775,-455.2155129532427,1204.0069188679602,#e43972
"Methenamine, Oral",Anti-Infective Agents,24.719814827261473,-96.54110637170649,-416.83839659143774,1126.1715932960115,#e43972
"Methylene blue, Oral",Anti-Infective Agents,22.97813042929846,-93.27103208899521,-418.58008098940076,1129.4416675787227,#e43972
"Metronidazole, Oral",Anti-Infective Agents,-149.47542861246575,-42.28144562285647,-591.033640031165,1180.4312540448616,#e43972
"Metronidazole, Route Not Applicable",Anti-Infective Agents,-13.862880839243417,-24.283879473219216,-455.42109225794263,1198.4288201944987,#e43972
"Metronidazole, Topical application",Anti-Infective Agents,-146.00315250326614,13.818052340562815,-587.5613639219654,1236.5307520082808,#e43972
"Metronidazole, Vaginal",Anti-Infective Agents,-110.6157914265537,-110.54806717932355,-552.174002845253,1112.1646324883943,#e43972
"Minocycline, Gingival",Anti-Infective Agents,-13.862770354315956,-24.283868778642585,-455.42098177301517,1198.4288308890755,#e43972
"Minocycline, Oral",Anti-Infective Agents,-2.4113611651003737,19.04188246822116,-443.9695725837996,1241.754582135939,#e43972
"Nelfinavir, Oral",Anti-Infective Agents,-17.655905741625475,-14.075638705160117,-459.2141171603247,1208.6370609625578,#e43972
"Nevirapine, Oral",Anti-Infective Agents,-17.95583917445657,-11.606154013033091,-459.5140505931558,1211.1065456546849,#e43972
"Nitazoxanide, Oral",Anti-Infective Agents,-14.159532869726263,-19.694686912579215,-455.7177442884255,1203.0180127551387,#e43972
"Nitrofurantoin, Oral",Anti-Infective Agents,31.926835039558256,-145.26958502008938,-409.631376379141,1077.4431146476286,#e43972
"Oseltamivir, Oral",Anti-Infective Agents,-150.0,-37.893091864242336,-591.5582114186992,1184.8196078034757,#e43972
"Paromomycin, Oral",Anti-Infective Agents,-13.862626723910125,-24.28384738948931,-455.42083814260934,1198.4288522782288,#e43972
"Petrolatum, Topical application",Anti-Infective Agents,-14.221150313823188,-19.559978025211677,-455.7793617325224,1203.1527216425063,#e43972
"Phenoxymethylpenicillin, Oral",Anti-Infective Agents,-109.72881842814934,-110.77474728688662,-551.2870298468486,1111.9379523808313,#e43972
"Praziquantel, Oral",Anti-Infective Agents,-14.164747758306817,-24.858178238830163,-455.72295917700603,1197.854521428888,#e43972
"Proguanil, Oral",Anti-Infective Agents,-14.536474297062625,-24.277484116388038,-456.09468571576184,1198.43521555133,#e43972
"Pyrimethamine, Oral",Anti-Infective Agents,-14.722829224368098,-24.287098540788094,-456.2810406430673,1198.42560112693,#e43972
"Quinine, Oral",Anti-Infective Agents,-14.785363693363735,-24.0453155520929,-456.3435751120629,1198.667384115625,#e43972
"Raltegravir, Oral",Anti-Infective Agents,-14.926044151618413,-16.202640274942155,-456.4842555703176,1206.510059392776,#e43972
"Retapamulin, Topical application",Anti-Infective Agents,48.38126691225011,-1.360770980300515,-393.1769445064491,1221.3519286874175,#e43972
"Rifampicin, Oral",Anti-Infective Agents,-13.712621337769832,-19.26898928939218,-455.2708327564691,1203.4437103783257,#e43972
"Rifaximin, Oral",Anti-Infective Agents,-14.376326394572999,-25.058701550845157,-455.9345378132722,1197.6539981168728,#e43972
"Rilpivirine, Oral",Anti-Infective Agents,-15.877805511540572,-24.155405524033284,-457.4360169302398,1198.5572941436847,#e43972
"Ritonavir, Oral",Anti-Infective Agents,-80.90565415823832,108.1089155149229,-522.4638655769376,1330.821615182641,#e43972
"Saquinavir, Oral",Anti-Infective Agents,-15.175408633108077,-23.368819412102496,-456.7336200518073,1199.3438802556154,#e43972
"Stavudine, Oral",Anti-Infective Agents,-15.079750782831667,-24.059517949871903,-456.63796220153085,1198.653181717846,#e43972
"Sulfadiazine, Oral",Anti-Infective Agents,-14.722829224368098,-24.287098540788094,-456.2810406430673,1198.42560112693,#e43972
"Sulfamethoxazole, Oral",Anti-Infective Agents,28.272711788097297,150.0,-413.2854996306019,1372.712699667718,#e43972
"Sulfasalazine, Oral",Anti-Infective Agents,11.777566219601681,66.15241230453393,-429.78064519909753,1288.865111972252,#e43972
"Telbivudine, Oral",Anti-Infective Agents,-11.826499994015364,-14.668043389023921,-453.3847114127146,1208.044656278694,#e43972
"Telithromycin, Oral",Anti-Infective Agents,-14.664747297952943,-24.458158294157684,-456.22295871665216,1198.2545413735602,#e43972
"Tenofovir disoproxil, Oral",Anti-Infective Agents,-46.97672727071844,113.26363728832837,-488.5349386894177,1335.9763369560465,#e43972
"Tenofovir, Oral",Anti-Infective Agents,-15.139335304261664,-23.95474318252198,-456.69754672296085,1198.757956485196,#e43972
"Terbinafine, Oral",Anti-Infective Agents,25.616002268623873,-1.4238796770578404,-415.9422091500753,1221.2888199906602,#e43972
"Terbinafine, Topical application",Anti-Infective Agents,-14.551610732137505,-24.45925983555169,-456.10982215083675,1198.2534398321664,#e43972
"Tetracycline, Oral",Anti-Infective Agents,-14.055378728520964,-19.15530593970047,-455.6135901472202,1203.5573937280176,#e43972
"Tinidazole, Oral",Anti-Infective Agents,88.45050413351748,62.24164090767968,-353.10770728518173,1284.9543405753977,#e43972
"Trimethoprim, Ophthalmic",Anti-Infective Agents,100.92336857495616,-87.80755788796985,-340.63484284374306,1134.9051417797482,#e43972
"Trimethoprim, Oral",Anti-Infective Agents,24.911362546162025,149.91946983789478,-416.6468488725372,1372.6321695056126,#e43972
"Valaciclovir, Oral",Anti-Infective Agents,-80.74489858864709,-133.4722355047874,-522.3031100073463,1089.2404641629305,#e43972
"Valganciclovir, Oral",Anti-Infective Agents,-13.862449948026011,-24.28385808406594,-455.4206613667252,1198.428841583652,#e43972
"Vancomycin, Intravenous",Anti-Infective Agents,-15.135490428782788,-25.049803663079985,-456.693701847482,1197.662896004638,#e43972
"Vancomycin, Oral",Anti-Infective Agents,-79.84083357195007,-47.113844620342576,-521.3990449906493,1175.5988550473753,#e43972
"Vancomycin, Route Not Applicable",Anti-Infective Agents,-13.707881534377805,-24.223497893505268,-455.266092953077,1198.4892017742127,#e43972
"Zanamivir, Inhalation",Anti-Infective Agents,-93.67229802204355,9.633574643740587,-535.2305094407427,1232.3462743114585,#e43972
"Zidovudine, Oral",Anti-Infective Agents,-79.88344760850768,98.26027988641061,-521.4416590272069,1320.9729795541286,#e43972
"Zinc oxide, Oral",Anti-Infective Agents,-14.037049279039735,-19.817428568685642,-455.5952606977389,1202.8952710990322,#e43972
"Zinc oxide, Topical application",Anti-Infective Agents,-14.221072974373868,-19.559988719788322,-455.7792843930731,1203.1527109479296,#e43972
"Abatacept, Subcutaneous",Immunosuppressants,4.695150956543216,32.59954569107413,-825.9184378806979,1032.6400778891036,#a6bbff
"Adalimumab, Multiple Routes",Immunosuppressants,84.5368618272276,-150.0,-746.0767270100134,850.0405321980295,#a6bbff
"Anakinra, Subcutaneous",Immunosuppressants,-103.69321605854785,16.22096439889353,-934.3068048957889,1016.261496596923,#a6bbff
"Azathioprine, Oral",Immunosuppressants,150.0,-52.8692763519479,-680.6135888372411,947.1712558460816,#a6bbff
"Certolizumab pegol, Subcutaneous",Immunosuppressants,-16.63058614117716,150.0,-847.2441749784182,1150.0405321980295,#a6bbff
"Etanercept, Subcutaneous",Immunosuppressants,-143.6969176135885,-52.212828029595016,-974.3105064508296,947.8277041684345,#a6bbff
"Golimumab, Subcutaneous",Immunosuppressants,-46.413920007146416,71.85887472034258,-877.0275088443875,1071.899406918372,#a6bbff
"Human C1-esterase inhibitor, Intravenous",Immunosuppressants,-42.79237630875163,18.65608862538707,-873.4059651459927,1018.6966208234165,#a6bbff
"Infliximab, Intravenous",Immunosuppressants,77.40656194345237,16.676223305330097,-753.2070268937887,1016.7167555033595,#a6bbff
"Mycophenolate mofetil, Oral",Immunosuppressants,3.770871201577762,-13.84683331187702,-826.8427176356633,986.1936988861524,#a6bbff
"Omalizumab, Subcutaneous",Immunosuppressants,-150.0,91.30875792670699,-980.6135888372411,1091.3492901247364,#a6bbff
"Tacrolimus, Oral",Immunosuppressants,88.60714283218266,-58.089747756224966,-742.0064460050585,941.9507844418046,#a6bbff
"Tacrolimus, Topical application",Immunosuppressants,-49.414212713361195,-97.71520402123767,-880.0278015506022,902.3253281767918,#a6bbff
"Ustekinumab, Subcutaneous",Immunosuppressants,67.38933185914956,92.02669958108149,-763.2242569780915,1092.067231779111,#a6bbff
"Vedolizumab, Intravenous",Immunosuppressants,-46.9725809819998,-24.699774102001598,-877.5861698192409,975.3407580960279,#a6bbff
"Acarbose, Oral",Hormones & Synthetic Subst,70.9704610937917,-42.75862978027337,-1049.9356099303934,615.7013765535382,#000080
"Beclomethasone dipropionate, Inhalation",Hormones & Synthetic Subst,144.9811297212795,-30.04767166342603,-975.9249413029056,628.4123346703856,#000080
"Beclomethasone dipropionate, Nasal",Hormones & Synthetic Subst,60.445963650107274,36.87188322256992,-1060.4601073740778,695.3318895563816,#000080
"Canagliflozin, Oral",Hormones & Synthetic Subst,-2.0749069205558612,-11.878823441572251,-1122.980977944741,646.5811828922394,#000080
"Choriogonadotropin alfa, Subcutaneous",Hormones & Synthetic Subst,-2.258334145967723,-11.874152319085425,-1123.1644051701528,646.5858540147262,#000080
"Chorionic Gonadotropin (Human), Intramuscular",Hormones & Synthetic Subst,-2.040855016538387,-12.266831695022717,-1122.9469260407236,646.193174638789,#000080
"Clomifene, Oral",Hormones & Synthetic Subst,27.971422324166582,-6.238304996615568,-1092.9346487000187,652.221701337196,#000080
"Conjugated estrogens, Oral",Hormones & Synthetic Subst,-1.8912253052527603,-11.94799063462716,-1122.7972963294378,646.5120156991845,#000080
"Conjugated estrogens, Vaginal",Hormones & Synthetic Subst,-0.0744817260232935,-10.92062032952822,-1120.9805527502085,647.5393860042834,#000080
"Cortisone acetate, Oral",Hormones & Synthetic Subst,-2.0134535911070657,-11.424547158611489,-1122.9195246152922,647.0354591752001,#000080
"Desmopressin, Nasal",Hormones & Synthetic Subst,1.5539164232296798,52.43120872772789,-1119.3521546009556,710.8912150615395,#000080
"Desmopressin, Oral",Hormones & Synthetic Subst,24.03656794118018,10.37978968068819,-1096.869503083005,668.8397960144998,#000080
"Desogestrel, Oral",Hormones & Synthetic Subst,13.502185633149168,-36.58480356410085,-1107.403885391036,621.8752027697108,#000080
"Dienogest, Oral",Hormones & Synthetic Subst,-2.3669344019324114,-12.072021067626935,-1123.2730054261176,646.3879852661847,#000080
"Drospirenone, Oral",Hormones & Synthetic Subst,23.900190731849392,-96.83967785485248,-1097.0058802923359,561.6203284789592,#000080
"Estradiol valerate, Oral",Hormones & Synthetic Subst,-2.0285473913225758,-11.791929296848906,-1122.9346184155077,646.6680770369627,#000080
"Estradiol, Oral",Hormones & Synthetic Subst,-39.60860903847286,2.8564189310285144,-1160.514680062658,661.3164252648402,#000080
"Estradiol, Route Not Applicable",Hormones & Synthetic Subst,-2.163725334023013,-11.563802941061425,-1123.0697963582081,646.8962033927502,#000080
"Estradiol, Transdermal",Hormones & Synthetic Subst,-5.367111869166081,-11.179991168278491,-1126.2731828933513,647.2800151655331,#000080
"Estradiol, Vaginal",Hormones & Synthetic Subst,-1.593940432789907,-11.818566798111277,-1122.500011456975,646.6414395357003,#000080
"Ethinylestradiol, Multiple Routes",Hormones & Synthetic Subst,-2.0417272104513415,-11.768620646625408,-1122.9477982346366,646.6913856871862,#000080
"Ethinylestradiol, Oral",Hormones & Synthetic Subst,41.47631539258714,-150.0,-1079.429755631598,508.46000633381163,#000080
"Ethinylestradiol, Transdermal",Hormones & Synthetic Subst,-2.022684310018917,-11.579994306529159,-1122.9287553342042,646.8800120272824,#000080
"Ethinylestradiol, Vaginal",Hormones & Synthetic Subst,-33.64617031160945,10.06521693864093,-1154.5522413357946,668.5252232724525,#000080
"Ethynodiol diacetate, Oral",Hormones & Synthetic Subst,-2.008305224259857,-12.152450267279306,-1122.914376248445,646.3075560665324,#000080
"Etonogestrel, Intradermal",Hormones & Synthetic Subst,-2.0171119600196334,-11.85236731929885,-1122.9231829842047,646.6076390145128,#000080
"Etonogestrel, Subcutaneous",Hormones & Synthetic Subst,-2.334093878349563,-11.807871461417875,-1123.2401649025346,646.6521348723937,#000080
